,Element,Prep,Calcination Temperture (℃),Calc T. (hr),Reaction Temperture (℃),H2 vol.%,O2 vol.%,CO vol.%,H2O vol.%,CO2 vol.%,CH4 vol.%,TOS (min),F/W (mg.min/ml)
0,Ce:72.33 Y:27.67,['SCT'],25.0,0.0,149.0,40.0,0.0,2.0,0.0,10.0,1.6221083834955057,60.0,1.0
1,Ce:89.35 Nd:10.6 Au:0.04 Tb:0.01,['SCT'],360.00437529086724,2.0,143.0,1.1636117838100897,0.0,3.564479404143374,0.024195593269465184,0.0,0.0,60.0,2.2726352191924173
2,Ga:94.4 Au:5.6,['SCT'],411.92754328711686,3.9179977860616457,148.2688429618191,0.0,0.0,3.635461920211399,0.029416452602304567,0.026661888295596934,1.4119505251277757,60.0,1.9491756552166726
3,Pr:91.71 Zr:8.29,['SCT'],25.0,0.0,141.34862048566717,40.0,0.0,2.0,0.9793411477650065,10.0,0.0,60.0,1.2767813385201956
4,Mn:55.23 K:44.77,['SCT'],25.48421147453717,0.0,150.0,40.0,0.0,2.0,0.1,10.0,0.409808665182221,60.0,1.8404849202418359
5,In:94.58 Cr:5.42,['SCT'],39.47999867619326,0.0,148.94442217806375,2.4067094801870317,0.0,1.8954142895078478,0.18486955078130873,3.3347359818490228,0.0,60.0,1.0
6,Ce:95.75 Bi:4.25,['SCT'],400.0,0.29404148034680155,147.19469220217454,10.10996872983219,0.0,2.2940220936670865,4.9366811134725435,0.658324558726687,0.7453063750155888,60.0,14.382390880489359
7,Zr:72.63 Sr:27.37,['SCT'],25.0,0.0,150.0,40.0,0.0,2.0,0.1,10.0,0.5910366243228122,60.0,6.3175373906453425
8,Nb:96.98 W:2.9 Tb:0.12 Au:0.0,['SCT'],25.0,0.0,150.0,40.0,0.0,2.0,0.1,10.0,0.0,60.0,1.5172061419836496
9,Mo:79.7 Y:20.23 Au:0.05 Tb:0.02,['SCT'],25.0,0.0,150.0,40.0,0.0,2.0,0.1,10.0,0.0,60.0,1.0319004620334638
10,Cr:90.96 Cd:9.04,['SCT'],400.0,8.729368484475067,137.92106426116146,3.269430694376236,0.0,2.0,0.04001542758352188,0.0,0.6518998923624911,60.0,3.570006297418063
11,Sn:89.46 Mn:10.27 Au:0.24 Tb:0.03,['SCT'],25.0,0.0,147.4283050576571,0.0,0.0,1.0,2.0,0.0,0.0,60.0,1.0
12,Sn:95.9 W:3.99 Tb:0.08 Au:0.02,['SCT'],387.8987723894106,0.12253802186291796,149.0,38.84012415793037,0.0,2.520451901536596,18.11320183043522,12.5,0.0,60.0,5.0
13,Ga:89.12 Gd:10.88,['SCT'],311.85458910538836,0.151261600551445,149.0,38.8179309975219,0.0,1.7168885001167578,13.896668557846942,12.5,0.3242347883404063,60.0,1.7310171883603565
14,Zn:90.83 Sr:9.17,['SCT'],303.8644590178762,0.6561313634009245,148.26591117889495,9.503952303318417,0.0,0.7478976311895587,2.6394169172699673,0.5,0.26966952195420935,60.0,1.165
15,Yb:94.96 Er:5.04,['SCT'],402.46661724031907,0.11683959813416414,147.24196747370718,0.0,0.0,3.006630097037841,6.350996774397941,0.0,1.611477849661875,60.0,1.3637849863879405
16,Ce:94.47 Tb:5.53,['SCT'],483.779396552394,0.03609977708522963,150.0,6.751444256745448,0.0,4.729649652531739,3.0158215329191775,1.0714661159812795,0.0,60.0,1.5
17,Nb:86.4 Ce:13.52 Tb:0.06 Au:0.02,['SCT'],397.28058364160216,0.6395100757026868,149.0,0.0,0.0,1.3,0.8572092629247945,1.2035291803299089,0.0,60.0,1.165
18,Eu:93.64 Au:5.72 Cd:0.64 Tb:0.0,['SCT'],231.27988919660174,6.6578286977019685,141.25379276550913,0.0,0.0,3.395612483993575,0.0687955300262145,1.1358168637799315,0.0,60.0,5.13
19,Nd:91.22 Y:8.78,['SCT'],400.0,2.0,136.20372053297325,0.0,0.0,3.2543625917402235,2.6,0.0,0.0,60.0,2.0
20,Mo:71.49 Sr:28.51,['SCT'],375.8166012289885,1.8903941212611897,149.13523630051594,0.0,0.0,1.4140977375119128,3.1,0.7510871898411555,0.0,60.0,1.165
21,Zr:81.64 La:18.36,['SCT'],452.6154114982689,1.6266041775831532,148.4225435478793,0.0,0.0,4.266474978451022,0.41236429547376124,2.643750245184769,0.0,60.0,1.5
22,In:90.89 Ba:9.11,['SCT'],435.3425568255666,1.05355745233257,146.72291394007675,2.4002343766083096,0.0,5.600424956284171,12.76305359740496,0.0,0.2055278710947434,60.0,1.5
23,Pr:93.6 Au:6.4,['SCT'],200.0,5.266386840045387,145.23971864240144,0.0,0.0,4.785294549152044,3.255277718996678,0.0,0.0,60.0,6.6
24,Pm:94.01 Ti:5.99,['SCT'],475.51263608347585,2.0,140.2553762498809,0.0,0.0,4.607762069404757,5.979092923573884,0.0,0.0,60.0,1.5
25,Mo:94.99 Pt:4.33 Au:0.44 Tb:0.24,['SCT'],486.8929850228431,3.819105257821435,150.0,0.0,0.0,1.0,1.593454615038559,0.0,0.0,60.0,2.0
26,Si:96.76 Pd:3.24,['SCT'],400.0,4.0,148.73280807546982,5.249591324328948,0.0,2.532704633979401,2.6801805644527255,0.0,0.0,60.0,1.4810166831562754
27,Zn:91.31 Hg:8.69,['SCT'],172.02328675791384,4.201093344223258,148.83930178286468,3.5842141918667725,0.0,2.5536314670211935,54.37071231161618,1.1999677027940974,0.0,60.0,5.13
28,Nb:86.53 Ce:13.34 Au:0.07 Tb:0.06,['SCT'],500.0,0.3614552924784925,140.0,0.0,0.0,3.8770727363123427,30.0,0.0,0.0,60.0,1.5
29,Cr:92.84 Au:7.16,['SCT'],300.0,6.0,150.0,0.0,0.0,5.0,10.0,2.7831074950824157,0.0,60.0,8.609241029824082
30,La:83.16 Hg:16.84,['SCT'],415.4765102453112,0.5777473545136856,140.0,11.711374070643767,0.0,2.7848494789754517,10.389924392238415,1.7804725023035606,0.0,60.0,11.20968610516683
31,Y:58.48 W:39.56 Au:1.9 Tb:0.06,['HDP'],500.0,2.0,146.54424352245778,0.0,0.0,5.0,34.061409050470154,0.4242969960935662,0.0,60.0,1.5
32,La:75.79 W:14.05 Tl:10.11 Tb:0.05,['HDP'],500.0,2.0,149.53169300493684,0.0,0.0,5.0,30.0,0.0,0.0,60.0,1.5
33,La:85.02 Zn:14.88 Tb:0.06 Au:0.03,['SCT'],25.0,0.3226787625366737,94.1481011851355,0.0,0.0,1.8870274984272313,1.2170133238961145,1.1958599048707563,0.0,60.0,2.2844793386933806
34,As:96.1 Sb:3.59 Tb:0.2 Au:0.1,['SCT'],25.0,0.0,82.9,0.0,0.0,0.5690174435918673,2.0,0.9997660373833973,0.9090976376603975,60.0,1.0
35,Mo:91.83 Au:7.85 Cd:0.31 Tb:0.02,['SCT'],300.0,6.0,94.4864910775152,0.0,0.0,3.9152544804657876,17.07443310589801,0.0,0.0,60.0,11.015925106143877
36,As:88.18 Sn:11.44 Au:0.31 Tb:0.07,['SCT'],445.70976880651864,6.073074955708187,75.22490470314887,1.3339114718044565,0.0,3.0,9.307682298854427,1.0141729448509784,0.12509992082404206,60.0,1.2422808768633953
37,Te:88.72 Rh:10.58 Au:0.67 Tb:0.02,['SCT'],500.0,5.462219006482264,20.0,10.90605181617617,0.0,3.7973262884815133,10.577063816471297,0.0,0.0,60.0,2.4603892358152626
38,Al:95.57 Ni:4.38 Pt:0.05,['SCT'],414.7621133220542,4.0,20.0,5.405915938415806,0.0,3.3731486186214443,10.0,0.0,0.0,60.0,1.0
39,Ce:90.82 Hg:8.73 Au:0.43 Tb:0.02,['SCT'],200.0,6.0,65.36513496671989,0.0,0.0,4.155516666527851,10.0,1.4023602905975805,0.0,60.0,6.6
